Mujeres,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
71,3968,4274,4564,4836,5088,5341,5590,5846,6113,6394,6682,6929,7129,7328,7518,7720,7935,8193,8491,8832,9219,9751,10326,10927,11539,12159,12782,13491,14237,15151,15978,16697,17354,17963,18538,19141,19748,20482,21262,22096,22972,23970,25240,26520,27760,29163,30667
72,3595,3892,4186,4469,4734,4995,5242,5488,5744,6010,6287,6531,6737,6937,7121,7302,7488,7701,7947,8231,8559,9032,9556,10116,10696,11288,11883,12571,13274,14011,14925,15485,16182,16815,17397,17964,18535,19211,19909,20660,21451,22344,23520,24754,26015,27213,28560
73,3235,3512,3797,4083,4359,4633,4888,5130,5376,5630,5893,6127,6331,6534,6718,6895,7062,7245,7448,7680,7951,8364,8830,9336,9874,10431,10997,11656,12339,13033,13774,14428,14971,15643,16245,16815,17350,17983,18626,19299,20011,20821,21886,23027,24237,25450,26588
74,2899,3148,3413,3689,3967,4251,4518,4768,5010,5254,5503,5724,5918,6120,6307,6484,6646,6813,6988,7179,7400,7751,8154,8602,9085,9598,10128,10758,11412,12085,12781,13278,13913,14432,15070,15662,16198,16790,17391,18010,18644,19384,20355,21382,22494,23656,24807
75,2594,2809,3045,3301,3569,3854,4130,4390,4637,4878,5119,5327,5508,5701,5888,6068,6231,6393,6551,6718,6900,7193,7533,7919,8340,8798,9284,9879,10502,11148,11821,12286,12766,13373,13866,14489,15046,15635,16194,16773,17355,18020,18907,19840,20838,21902,23001
76,2321,2504,2706,2934,3181,3454,3730,3997,4255,4501,4737,4934,5106,5287,5464,5645,5811,5976,6128,6280,6438,6684,6968,7290,7651,8047,8473,9027,9618,10230,10872,11325,11775,12233,12807,13290,13877,14478,15035,15575,16118,16733,17534,18380,19283,20232,21232
77,2075,2230,2400,2595,2814,3065,3328,3594,3857,4110,4351,4546,4710,4880,5047,5220,5387,5553,5711,5857,6003,6214,6451,6717,7015,7349,7714,8215,8761,9338,9948,10383,10821,11249,11678,12239,12688,13314,13885,14419,14926,15497,16232,16993,17810,18658,19540
78,1854,1985,2128,2291,2477,2699,2940,3193,3453,3712,3957,4157,4321,4485,4643,4804,4963,5131,5293,5440,5583,5771,5972,6192,6433,6708,7009,7453,7947,8479,9052,9467,9886,10301,10700,11122,11644,12136,12725,13273,13774,14301,14981,15675,16404,17166,17951
79,1654,1766,1886,2021,2176,2365,2577,2807,3053,3305,3555,3762,3934,4097,4247,4401,4550,4711,4872,5025,5169,5341,5519,5704,5901,6119,6363,6747,7182,7660,8186,8580,8979,9375,9761,10154,10543,11097,11558,12124,12636,13150,13773,14410,15069,15741,16438
80,1468,1565,1667,1780,1909,2066,2246,2447,2670,2909,3152,3364,3545,3715,3866,4011,4152,4302,4457,4610,4758,4920,5082,5244,5406,5581,5774,6103,6479,6898,7368,7731,8107,8482,8850,9227,9586,10010,10531,10971,11500,12015,12608,13188,13787,14388,14996
81,1296,1384,1472,1567,1673,1804,1953,2122,2316,2531,2757,2966,3155,3332,3489,3632,3766,3908,4053,4199,4346,4501,4653,4802,4940,5085,5236,5513,5831,6192,6604,6928,7274,7625,7971,8327,8671,9063,9458,9954,10361,10881,11461,12010,12551,13094,13631
82,1133,1213,1291,1373,1461,1570,1693,1833,1995,2182,2384,2581,2767,2950,3112,3261,3393,3527,3662,3798,3939,4084,4229,4367,4494,4618,4739,4975,5243,5550,5902,6182,6489,6808,7131,7465,7788,8162,8525,8900,9357,9754,10323,10856,11365,11851,12331
83,980,1053,1124,1196,1271,1363,1465,1579,1712,1868,2043,2217,2393,2574,2739,2894,3028,3160,3287,3414,3543,3673,3808,3941,4060,4172,4274,4478,4705,4960,5258,5493,5760,6041,6332,6642,6942,7292,7637,7979,8322,8757,9196,9719,10208,10664,11086
84,837,904,969,1034,1100,1178,1263,1356,1465,1592,1737,1889,2045,2213,2376,2533,2670,2803,2926,3044,3164,3277,3400,3522,3636,3741,3834,4013,4209,4424,4670,4867,5090,5330,5585,5864,6138,6466,6786,7109,7419,7739,8201,8600,9078,9513,9906
85,706,767,825,884,942,1011,1083,1160,1249,1352,1470,1593,1729,1879,2030,2181,2321,2455,2579,2692,2802,2904,3010,3121,3226,3325,3410,3575,3747,3930,4137,4297,4481,4681,4896,5139,5383,5682,5977,6275,6568,6851,7196,7614,7974,8396,8770
86,587,640,692,745,798,858,921,986,1058,1142,1237,1337,1447,1576,1709,1849,1983,2118,2241,2353,2459,2548,2643,2740,2833,2924,3007,3157,3313,3473,3649,3782,3931,4093,4268,4472,4682,4949,5217,5490,5756,6015,6318,6625,7002,7314,7674
87,481,528,573,620,667,721,775,831,892,961,1036,1118,1207,1310,1424,1544,1666,1795,1917,2027,2133,2214,2299,2383,2466,2547,2622,2760,2901,3042,3196,3309,3431,3562,3701,3867,4041,4271,4508,4753,4995,5228,5498,5764,6037,6363,6622
88,388,427,466,506,547,595,643,692,744,801,863,928,999,1082,1172,1273,1379,1493,1609,1717,1819,1899,1976,2052,2123,2194,2261,2382,2511,2638,2774,2876,2976,3082,3191,3324,3463,3656,3857,4071,4286,4492,4731,4968,5202,5432,5703
89,308,340,373,407,442,483,525,568,613,661,712,763,820,886,957,1040,1126,1224,1326,1427,1524,1603,1677,1747,1809,1871,1927,2035,2147,2262,2383,2473,2563,2649,2736,2839,2946,3102,3269,3450,3635,3815,4023,4229,4434,4627,4812
90,241,268,294,322,352,387,423,459,498,539,582,624,668,721,776,839,907,986,1073,1161,1251,1327,1399,1465,1522,1577,1627,1715,1813,1914,2021,2102,2182,2256,2325,2407,2488,2612,2745,2893,3046,3198,3377,3554,3730,3898,4052
91,184,206,227,250,274,303,333,364,397,432,468,502,539,579,622,671,723,785,854,927,1005,1074,1141,1205,1261,1312,1355,1428,1509,1597,1691,1762,1834,1899,1958,2022,2084,2181,2284,2400,2522,2648,2794,2946,3096,3237,3369
92,137,154,172,190,209,232,257,282,310,339,370,399,429,462,494,531,570,617,669,726,789,848,910,970,1022,1071,1111,1172,1239,1312,1391,1455,1516,1575,1625,1679,1725,1801,1881,1971,2065,2163,2280,2404,2528,2647,2757
