Hombres,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
58,106485,107750,109210,111038,113412,116383,119918,123948,128396,133110,137884,142663,147460,152248,157100,162812,168642,174534,180707,186143,191117,195986,201015,206311,212023,218160,224741,231892,239553,247369,254876,262798,271825,281340,291402,302242,313806,326130,337826,351452,367975,384313,401212,418720,436257,453837
59,103078,104314,105586,107045,108884,111283,114252,117751,121763,126170,130784,135498,140245,145036,149823,154623,160296,166110,171906,177974,183379,188316,193146,198137,203357,208944,215014,221551,228635,236229,244066,251588,259424,268368,277888,287945,298708,310192,322311,333776,347033,363232,379392,396064,413342,430467
60,99521,100838,102072,103344,104819,106700,109102,112038,115525,119498,123808,128359,133041,137782,142564,147296,152068,157718,163430,169121,175141,180499,185386,190174,195090,200190,205711,211744,218214,225233,232845,240685,248120,255876,264819,274324,284301,294976,306249,318121,329231,342196,358213,374147,390573,407426
61,95736,97211,98525,99757,101048,102566,104456,106831,109761,113215,117099,121345,125862,130533,135261,139984,144680,149443,154985,160586,166226,172185,177478,182320,187032,191825,196864,202352,208314,214730,221774,229385,237124,244468,252224,261148,270567,280450,290914,301932,313429,324273,337091,352865,368544,384544
62,91746,93366,94828,96134,97386,98722,100253,102123,104509,107408,110777,114598,118814,123316,127971,132628,137311,141996,146659,152085,157629,163207,169083,174320,179079,183665,188398,193404,198831,204745,211187,218231,225732,233363,240699,248439,257267,266587,276251,286463,297110,308330,319046,331660,347158,362405
63,87654,89317,90916,92368,93687,94985,96333,97855,99737,102099,104928,108241,112035,116235,120718,125296,129909,134568,139147,143704,149068,154543,160043,165842,170983,175611,180134,184838,189788,195167,201111,207559,214494,221874,229479,236792,244434,253159,262256,271667,281508,291884,302955,313492,325858,340917
64,83553,85176,86812,88394,89855,91210,92521,93861,95397,97270,99567,102347,105644,109422,113599,118001,122528,127113,131660,136124,140630,145921,151315,156734,162418,167416,171975,176470,181114,186023,191440,197395,203729,210542,217885,225442,232654,240202,248695,257529,266578,276150,286383,297257,307572,319536
65,79481,81031,82621,84239,85816,87311,88680,89971,91334,92872,94688,96943,99712,102995,106751,110851,115193,119684,124149,128578,132986,137430,142637,147941,153246,158769,163680,168206,172644,177250,182201,187628,193469,199680,206448,213732,221171,228277,235602,243831,252303,261089,270521,280561,291187,301120
66,75407,76914,78434,79998,81608,83216,84708,86057,87374,88740,90219,92004,94259,97028,100295,103973,108010,112316,116675,121014,125376,129721,134090,139205,144388,149532,154953,159818,164276,168678,173327,178293,183612,189319,195484,202186,209343,216655,223533,230600,238472,246686,255336,264580,274367,284595
67,71263,72803,74275,75767,77324,78956,80559,82026,83393,84709,86020,87477,89269,91530,94291,97485,101102,105094,109262,113492,117762,122056,126318,130608,135597,140617,145657,151009,155793,160211,164655,169323,174181,179361,185019,191111,197682,204703,211771,218388,225115,232730,240813,249278,258268,267656
68,66944,68635,70129,71574,73055,74633,76253,77824,79299,80666,81924,83214,84687,86494,88757,91445,94581,98156,102012,106046,110200,114397,118602,122777,126958,131778,136686,141659,146910,151640,156097,160558,165108,169825,174957,180539,186501,192932,199706,206491,212766,219253,226739,234636,242848,251450
69,62354,64299,65936,67396,68829,70331,71897,73481,75051,76519,77822,79059,80364,81859,83675,85872,88508,91612,95052,98775,102729,106803,110900,115012,119075,123097,127804,132644,137516,142688,147440,151910,156248,160655,165317,170371,175824,181645,187827,194306,200735,206778,213159,220459,228099,235924
70,57501,59722,61598,63188,64636,66084,67570,69090,70675,72229,73626,74897,76153,77484,78988,80748,82903,85517,88483,91795,95435,99310,103280,107279,111269,115170,119096,123726,128456,133255,138435,143180,147513,151699,156050,160632,165554,170866,176439,182327,188447,194634,200568,206780,213828,221076
71,52483,54904,57033,58849,60413,61873,63302,64745,66264,67824,69303,70664,71945,73218,74557,76014,77742,79878,82366,85216,88450,92009,95778,99641,103512,107336,111134,114999,119522,124172,128977,134118,138712,142878,147001,151263,155713,160500,165566,170850,176392,182265,188319,194089,200063,206718
72,47459,49947,52264,54314,56081,57647,59079,60465,61906,63402,64877,66309,67671,68971,70254,71541,72970,74687,76710,79086,81867,85024,88481,92138,95869,99569,103279,107014,110788,115227,119878,124645,129607,134013,138101,142131,146260,150579,155117,159891,164836,170135,175877,181752,187277,192883
73,42610,45007,47372,49593,51583,53331,54866,56246,57627,59039,60449,61875,63302,64669,65971,67198,68461,69883,71499,73417,75740,78453,81515,84859,88380,91932,95515,99153,102795,106505,110934,115540,120125,124874,129174,133154,137049,141046,145119,149374,153816,158529,163704,169260,174867,180027
