Sexo,Edad,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Hombres,68,4301,4519,4724,4925,5130,5346,5574,5806,6034,6261,6480,6684,6888,7113,7380,7691,8042,8443,8886,9353,9844,10375,10917,11473,12031,12610,13319,14076,14976,15839,16676,17244,17831,18430,19064,19766,20511,21396,22348,23331,24315,25218,26526,27942,29411,30975,32611
Hombres,69,3990,4216,4423,4617,4808,5007,5217,5431,5652,5874,6088,6281,6466,6665,6885,7144,7439,7783,8168,8585,9037,9539,10059,10589,11133,11675,12233,13056,13798,14676,15523,16101,16654,17212,17791,18416,19089,19886,20734,21633,22569,23510,24637,25926,27329,28767,30283
Hombres,70,3661,3893,4108,4305,4491,4676,4869,5068,5274,5490,5700,5888,6064,6242,6436,6650,6892,7179,7509,7871,8270,8737,9230,9735,10253,10778,11300,11965,12767,13491,14353,14957,15514,16042,16576,17149,17745,18462,19224,20019,20872,21777,22926,24035,25309,26673,28057
Hombres,71,3323,3556,3778,3984,4173,4352,4533,4717,4907,5109,5313,5500,5671,5838,6014,6199,6397,6633,6907,7211,7558,7978,8433,8909,9402,9901,10407,11022,11668,12452,13161,13797,14380,14908,15412,15942,16482,17116,17800,18513,19262,20095,21198,22324,23413,24643,25950
Hombres,72,2989,3213,3435,3648,3845,4029,4205,4377,4555,4741,4932,5113,5281,5444,5608,5773,5943,6136,6359,6610,6900,7268,7678,8117,8582,9056,9533,10122,10720,11348,12118,12622,13233,13785,14288,14784,15283,15858,16460,17095,17765,18504,19517,20593,21689,22734,23905
Hombres,73,2671,2877,3090,3303,3507,3698,3878,4046,4212,4386,4563,4731,4894,5054,5212,5366,5515,5680,5861,6061,6298,6616,6976,7370,7795,8239,8690,9243,9816,10400,11017,11590,12071,12649,13173,13668,14134,14663,15206,15764,16359,17022,17928,18911,19952,21000,21983
Hombres,74,2377,2559,2754,2958,3162,3360,3547,3719,3880,4044,4208,4362,4511,4665,4819,4968,5106,5252,5404,5563,5753,6024,6329,6674,7055,7460,7880,8398,8937,9491,10065,10503,11051,11505,12052,12564,13031,13519,14017,14520,15040,15631,16447,17320,18267,19254,20235
Hombres,75,2113,2267,2439,2626,2820,3017,3210,3388,3552,3711,3866,4007,4140,4281,4429,4574,4707,4842,4977,5110,5261,5484,5742,6036,6365,6726,7108,7590,8093,8614,9158,9564,9984,10498,10926,11460,11941,12426,12887,13347,13811,14328,15059,15839,16675,17566,18483
Hombres,76,1878,2005,2150,2314,2491,2679,2870,3053,3223,3385,3535,3665,3786,3913,4048,4186,4316,4445,4568,4685,4809,4995,5208,5454,5733,6045,6382,6821,7288,7774,8287,8676,9064,9455,9939,10356,10856,11350,11806,12231,12656,13115,13756,14450,15194,15975,16795
Hombres,77,1668,1774,1893,2031,2186,2356,2537,2718,2892,3059,3210,3336,3447,3561,3683,3809,3932,4058,4176,4283,4391,4551,4728,4929,5162,5423,5712,6103,6528,6978,7454,7820,8192,8551,8919,9388,9776,10285,10750,11171,11562,11974,12543,13151,13808,14496,15206
Hombres,78,1480,1567,1665,1778,1907,2056,2220,2390,2561,2730,2886,3013,3120,3225,3334,3447,3561,3680,3796,3899,3999,4138,4290,4455,4644,4860,5100,5440,5818,6227,6667,7010,7357,7701,8037,8392,8828,9230,9709,10135,10519,10896,11404,11941,12511,13113,13734
Hombres,79,1312,1384,1464,1556,1662,1786,1928,2082,2242,2408,2566,2696,2804,2904,3005,3108,3208,3317,3427,3527,3623,3752,3883,4024,4177,4351,4546,4839,5167,5528,5925,6244,6569,6889,7206,7533,7864,8307,8680,9119,9510,9871,10328,10807,11304,11822,12360
Hombres,80,1159,1220,1287,1362,1448,1549,1667,1799,1943,2098,2251,2384,2496,2597,2693,2787,2877,2975,3076,3170,3263,3384,3505,3626,3755,3894,4049,4297,4576,4888,5238,5526,5825,6122,6418,6726,7026,7367,7778,8119,8518,8879,9311,9735,10178,10626,11083
Hombres,81,1019,1073,1129,1191,1260,1342,1437,1546,1670,1807,1949,2078,2193,2298,2395,2485,2567,2656,2746,2832,2921,3033,3145,3254,3365,3480,3604,3810,4045,4311,4613,4865,5133,5407,5681,5966,6245,6556,6869,7244,7550,7914,8328,8726,9118,9512,9906
Hombres,82,887,937,986,1038,1095,1161,1238,1326,1427,1544,1669,1789,1901,2008,2108,2198,2277,2357,2438,2515,2596,2699,2802,2903,3002,3101,3202,3374,3570,3792,4046,4261,4496,4739,4989,5252,5509,5799,6083,6366,6701,6973,7374,7757,8124,8471,8811
Hombres,83,766,811,855,900,948,1001,1063,1133,1214,1310,1416,1522,1626,1730,1830,1922,2001,2077,2151,2219,2291,2382,2476,2569,2660,2747,2833,2981,3143,3326,3537,3718,3917,4128,4349,4587,4822,5089,5351,5605,5858,6151,6456,6826,7176,7497,7796
Hombres,84,654,696,736,776,817,861,912,968,1032,1108,1194,1282,1374,1470,1567,1660,1740,1816,1885,1947,2011,2089,2170,2255,2339,2418,2492,2622,2759,2910,3085,3234,3398,3577,3766,3976,4188,4429,4670,4903,5126,5336,5655,5935,6269,6576,6850
Hombres,85,550,588,625,661,698,736,777,822,873,933,1001,1072,1149,1233,1322,1411,1491,1568,1637,1695,1753,1819,1889,1961,2037,2109,2177,2291,2411,2539,2682,2801,2936,3082,3240,3419,3605,3821,4039,4250,4454,4635,4869,5157,5409,5703,5965
Hombres,86,457,491,524,558,590,623,659,695,735,783,836,891,953,1024,1102,1182,1259,1335,1404,1461,1515,1572,1631,1693,1757,1822,1884,1986,2091,2200,2321,2418,2526,2644,2772,2921,3078,3268,3459,3649,3832,3997,4195,4405,4664,4880,5130
Hombres,87,374,404,434,463,492,522,553,583,616,653,695,738,786,842,907,977,1046,1117,1185,1242,1295,1346,1396,1449,1503,1559,1614,1704,1798,1893,1994,2076,2163,2258,2360,2480,2609,2768,2934,3103,3264,3406,3583,3762,3948,4168,4349
Hombres,88,301,326,353,379,404,430,458,484,512,542,574,607,645,689,740,797,856,920,983,1039,1091,1138,1183,1228,1274,1321,1368,1446,1529,1613,1700,1770,1843,1918,1997,2092,2195,2326,2465,2608,2749,2872,3023,3179,3336,3494,3679
Hombres,89,239,260,283,305,328,351,374,397,421,446,471,497,526,560,599,644,692,746,802,854,904,949,991,1030,1069,1109,1148,1215,1286,1359,1435,1496,1559,1617,1680,1753,1832,1938,2051,2169,2287,2394,2522,2654,2790,2919,3045
